Epoch,Step,Total,CE,feat
52,50,0.98828125,0.98828125,
52,60,0.90625,0.90625,
52,70,0.921875,0.921875,
52,80,0.984375,0.984375,
52,90,1.0703125,1.0703125,
52,100,1.140625,1.140625,
52,110,0.765625,0.765625,
53,0,1.125,1.125,
53,10,0.80859375,0.80859375,
53,20,0.7578125,0.7578125,
53,30,0.7109375,0.7109375,
53,40,0.67578125,0.67578125,
53,50,0.6328125,0.6328125,
53,60,0.56640625,0.56640625,
53,70,0.58984375,0.58984375,
53,80,0.515625,0.515625,
53,90,0.6484375,0.6484375,
53,100,0.7734375,0.7734375,
53,110,0.6484375,0.6484375,
54,0,1.078125,1.078125,
54,10,0.5546875,0.5546875,
54,20,0.53125,0.53125,
54,30,0.439453125,0.439453125,
54,40,0.50390625,0.50390625,
54,50,0.54296875,0.54296875,
54,60,0.609375,0.609375,
54,70,0.58984375,0.58984375,
54,80,0.578125,0.578125,
54,90,0.55078125,0.55078125,
54,100,0.6796875,0.6796875,
54,110,0.4453125,0.4453125,
55,0,0.55859375,0.55859375,
55,10,0.58984375,0.58984375,
55,20,0.35546875,0.35546875,
55,30,0.328125,0.328125,
55,40,0.416015625,0.416015625,
55,50,0.44921875,0.44921875,
55,60,0.341796875,0.341796875,
55,70,0.3515625,0.3515625,
55,80,0.38671875,0.38671875,
55,90,0.3046875,0.3046875,
55,100,0.365234375,0.365234375,
55,110,0.384765625,0.384765625,
56,0,0.40625,0.40625,
56,10,0.32421875,0.32421875,
56,20,0.294921875,0.294921875,
56,30,0.306640625,0.306640625,
56,40,0.2578125,0.2578125,
56,50,0.2431640625,0.2431640625,
56,60,0.2177734375,0.2177734375,
56,70,0.2734375,0.2734375,
56,80,0.2314453125,0.2314453125,
56,90,0.2265625,0.2265625,
56,100,0.28125,0.28125,
56,110,0.1953125,0.1953125,
57,0,0.291015625,0.291015625,
57,10,0.2490234375,0.2490234375,
57,20,0.1396484375,0.1396484375,
57,30,0.1875,0.1875,
57,40,0.126953125,0.126953125,
57,50,0.142578125,0.142578125,
57,60,0.09033203125,0.09033203125,
57,70,0.146484375,0.146484375,
57,80,0.1220703125,0.1220703125,
57,90,0.1474609375,0.1474609375,
57,100,0.15234375,0.15234375,
57,110,0.1142578125,0.1142578125,
58,0,0.130859375,0.130859375,
58,10,0.123046875,0.123046875,
58,20,0.087890625,0.087890625,
58,30,0.115234375,0.115234375,
58,40,0.046142578125,0.046142578125,
58,50,0.0498046875,0.0498046875,
58,60,0.042724609375,0.042724609375,
58,70,0.06005859375,0.06005859375,
58,80,0.031494140625,0.031494140625,
